# Time-averaged data for fix 3
# TimeStep c_output_pressure v_lx v_ly v_lz
381000 505.522 36.0708 159.756 21.9713
382000 517.701 35.971 159.909 21.9811
383000 521.741 36.0303 159.719 21.9772
384000 524.107 36.0042 159.78 21.9749
385000 559.676 36.0442 159.712 21.9096
386000 547.25 35.9733 159.903 22.0066
387000 573.895 36.0438 159.732 21.9705
388000 560.838 36.0557 159.651 21.9138
389000 599.37 36.0363 159.592 21.9236
390000 588.671 36.0352 159.582 21.917
391000 597.78 35.9887 159.623 21.9586
392000 617.863 35.9462 159.79 21.9631
393000 635.575 36.0463 159.461 21.9298
394000 639.555 36.0299 159.618 21.915
395000 646.228 36.005 159.756 21.9319
396000 651.444 36.0296 159.635 21.9212
397000 655.978 36.0578 159.339 21.9188
398000 677.293 35.9918 159.504 21.9187
399000 685.224 36.0533 159.512 21.909
400000 709.011 36.0674 159.38 21.8883
401000 693.46 36.0007 159.647 21.9381
402000 715.879 36.0303 159.488 21.9048
403000 728.838 35.9248 159.849 21.9464
404000 735.09 36.0685 159.235 21.8903
405000 753.043 35.9879 159.561 21.905
406000 752.297 36.0075 159.491 21.9013
407000 760.972 35.987 159.407 21.9085
408000 776.587 36.0256 159.285 21.8761
409000 782.721 36.0486 159.433 21.8715
410000 796.118 36.0599 159.481 21.861
411000 795.764 36.0718 159.14 21.8758
412000 821.389 36.0455 159.306 21.8245
413000 817.827 36.0912 159.258 21.8224
414000 841.667 36.076 159.197 21.8509
415000 848.992 36.0578 159.079 21.8236
416000 856.049 36.0538 159.21 21.8295
417000 861.071 36.0165 159.184 21.807
418000 865.665 36.0619 158.999 21.8077
419000 892.307 36.0439 159.192 21.8228
420000 891.737 35.985 159.319 21.8406
421000 911.216 35.9782 159.265 21.8384
422000 895.53 36.0027 159.026 21.8585
423000 934.857 36.0334 159.182 21.8
424000 936.489 35.961 159.146 21.8406
425000 937.496 36.0653 158.916 21.8038
426000 950.471 36.0033 159.153 21.7941
427000 979.016 36.0328 159.124 21.7599
428000 973.884 36.0443 159.016 21.7874
429000 978.978 36.099 158.907 21.7535
430000 1008.92 35.9541 159.217 21.8022
431000 994.156 35.9902 159.023 21.7792
432000 1001.07 36.0458 158.893 21.7692
433000 999.41 36.048 158.883 21.762
434000 990.356 36.0383 159.104 21.7819
435000 996.877 36.0187 159.092 21.801
436000 1012.81 36.0126 158.963 21.8003
437000 1002.31 35.9576 159.148 21.8249
438000 1003.54 36.035 159.059 21.7907
439000 989.67 36.0054 159.087 21.8086
440000 1014.88 36.0371 158.81 21.768
441000 991.414 35.989 158.978 21.7863
442000 996.976 35.9265 159.19 21.7916
443000 993.47 35.9823 159.016 21.7943
444000 1034.43 35.9539 159.043 21.7901
445000 975.715 36.0265 158.924 21.7699
446000 1005.06 35.9793 158.911 21.7669
447000 996.785 35.9346 159.111 21.7977
448000 998.041 35.8611 159.353 21.8387
449000 1001.74 35.9627 159.082 21.807
450000 1012.34 36.0058 159.106 21.7811
451000 985.701 36.0421 159.049 21.7288
452000 1002.34 35.9981 159.061 21.77
453000 994.763 35.9635 159.088 21.8142
454000 1005.24 35.954 159.216 21.7688
455000 1007.93 35.956 159.125 21.7894
456000 993.473 36.0019 159.039 21.772
457000 1000.2 35.9353 159.013 21.7848
458000 998.911 35.9587 159.134 21.7684
459000 985.263 35.9789 159.059 21.7661
460000 998.918 35.9259 159.148 21.7947
461000 1016.65 35.9366 159.101 21.7803
462000 999.869 35.9382 159.213 21.7739
463000 987.186 35.9812 159.065 21.7538
464000 1020.78 35.9707 158.973 21.7431
465000 995.636 35.9042 159.186 21.7708
466000 999.293 35.9174 159.165 21.7492
467000 996.522 35.9635 159.014 21.7685
468000 995.565 35.9399 158.954 21.7924
469000 1003.06 35.9286 159.032 21.783
470000 990.685 35.8572 159.239 21.827
471000 1010.6 35.9489 159.101 21.7554
472000 992.969 35.9677 158.929 21.7716
473000 1001.56 35.9347 159.128 21.777
474000 1002.2 35.9755 159.101 21.7642
475000 990.444 36.0178 158.891 21.7565
476000 1009.4 36.0021 158.793 21.7337
